Dongtai;-23.4
San Germán;-56.5
Virú;20.1
Vysoké Mýto;72.3
Heumen;4.7
San Raimundo;32.9
Zhaltyr;4.8
Pāma;32.5
Čajetina;18.0
Betroka;41.3
São José do Cedro;52.9
Ozurgeti;-54.3
Arezzo;-83.9
Wote;75.5
Carmagnola;43.3
Tirumuruganpūndi;13.5
Turek;16.2
Sucupira do Norte;17.9
Aubenas;85.2
Frankfort;-3.7
Walla Walla;6.5
Tuy Hòa;8.1
Oatlands;92.4
Mānāvadar;39.2
Yepocapa;6.8
Northglenn;-35.5
Daireaux;11.6
Vila Franca de Xira;67.4
Burtonwood;-61.9
Ciney;-35.8
Vohiposa;-25.6
Novocherkassk;-86.1
La Queue-en-Brie;21.6
Damua;86.0
Villach;97.3
Teijlingen;35.2
Fanlu;96.7
Farahalana;-90.5
Itiruçu;-16.4
Hueyapan de Ocampo;-81.1
Lakeland;-0.7
Yby Yaú;-71.4
Lower Macungie;-23.5
Mattoon;37.1
Ma‘alot Tarshīḥā;-59.0
Carmichael;29.8
San Felice sul Panaro;-10.9
Umga;54.3
Lady Lake;81.6
Jamshoro;17.6
Tolú Viejo;-8.9
Tarrasa;53.1
Longjin;-10.6
Fulwood;13.2
Paranavaí;60.5
Norrköping;-20.7
Qūchān;47.3
Horad Zhodzina;70.2
Macclesfield;-58.4
Villorba;63.4
Soltsy;30.2
Muñiz;-48.4
Castanhal;-80.2
Mazarrón;-36.1
Bastak;-27.0
Golmud;-60.6
Balaka;-27.3
Hamilton Square;-84.3
Aldenham;91.2
Marano di Napoli;-45.4
Bankra;-49.4
Hanamaki Onsen;71.9
Bužim;-22.2
Muzo;-30.4
Brookhaven;83.1
Cuevas del Almanzora;-57.7
Falls;-80.8
Primeiro de Maio;17.3
Conchalí;-30.7
Kegeyli Shahar;-81.6
Kemi;93.3
Sholaqqorghan;29.2
Dombarovskiy;-24.5
Villa Alemana;-21.8
Gioia Tauro;4.7
Bruchköbel;35.2
Telkap;32.9
Maramag;17.8
Asahikawa;-17.2
Ixmiquilpan;-82.7
Pallappatti;-52.0
Lakinsk;99.6
Duisburg;89.5
Nueva Valencia;-97.1
Padada;2.2
Itārhi;-61.1
Pirajuí;0.4
La Marque;6.3
Eral;72.0
Niğde;72.0
Oro Valley;-65.9
Horlivka;-20.7
Moston;73.2
Bayang;89.5
Malay;16.6
Borim;-89.1
Bel Air;72.3
Dallas;-72.3
Kameyama;25.5
Wonthaggi;20.5
Svetlograd;20.8
Barbacoas;49.3
Sciacca;-72.7
Stourbridge;94.8
Sembedu;-44.0
Lagbé;93.4
Pukë;16.7
Kamina;3.4
Plains;46.7
Nieuw-Lekkerland;-62.9
Tubize;-46.2
Palaiseau;58.8
Dharmkot;-93.4
Montereau-faut-Yonne;24.8
Chêne-Bougeries;7.2
Cihanbeyli;-11.9
Mahisi;95.1
Manivilundān;-52.1
Kabuga;-61.3
Jerome;38.4
Laives;88.7
Dhorgaon;-29.8
Lower Pottsgrove;4.6
Mumbwa;-59.7
Mboki;17.8
Clemencia;-7.0
San Luis de La Loma;-91.0
La Garriga;-0.9
Douala;77.1
Barre;-80.1
Gairtganj;51.7
Catskill;43.0
Mercaderes;74.9
Spoleto;9.6
Nainijor;-70.1
Başmakçı;-5.7
Wörth am Rhein;81.7
Periyakoduveri;12.3
Tuchola;9.7
Riverbank;-94.1
Ermenek;-81.1
Tân Phong;1.2
Pīlibhīt;69.3
Löhne;-32.5
Dej;-42.9
Holzgerlingen;-19.8
Chuarrancho;-35.8
Elze;-73.9
Meerssen;64.3
Bulancak;-8.4
Mont-Saint-Hilaire;81.3
Villa Curuguaty;-61.8
Hohoe;93.5
Iizuna;-31.4
Mara Rosa;38.6
Sirka;19.6
Theodore;-21.2
Muskegon Heights;39.2
Darbhanga;48.2
Taveta;98.3
Hirehadagalli;-96.9
Copiague;95.3
Upala;7.7
Puyallup;70.7
Rauco;-61.3
Simbahan;-19.6
Garhwa;-39.9
Montichiari;-15.0
Orangevale;24.0
Lillehammer;-31.9
Liestal;-82.5
Ubaporanga;55.6
Ciudad Apodaca;-39.9
Kendale Lakes;-99.6
Hosūr;-17.0
Meshgīn Shahr;40.7
Ponnūru;-42.4
Leuwiliang;92.2
Cercola;71.8
Perungulam;-47.0
Corocoro;-94.5
Lanark;81.9
Edam;-4.1
Dois Irmãos;88.7
Tezpur;-93.2
Amarāpuuram;2.5
Trélazé;-25.7
Coronel Oviedo;-42.4
Korahia;56.2
Marand;-29.2
Jaisinghpur;-90.2
Cyangugu;0.3
Fanlu;-2.1
Tiztoutine;89.0
Ibiporã;-80.6
Sim;-28.7
Montefiascone;-82.1
Rio Grande;-74.3
Beverley;-95.4
Damaishan;-5.8
Beijing;-58.5
Lanciano;44.6
Pijijiapan;48.4
Montevista;-66.0
Shima;20.5
Dráma;31.3
Manyoni;-6.8
Pampas;-2.0
Władysławowo;32.5
Sorab;-38.2
Strombeek-Bever;-13.8
Bhabhua;32.8
Greater Napanee;-9.9
Tāluqān;-68.6
Montereau-faut-Yonne;-96.9
Shawangunk;-21.5
Pitoa;-77.5
Barroso;70.7
Vevčani;-89.3
Bainbridge;-97.9
Dej;90.4
Jam;69.6
María la Baja;23.8
Saint-Colomban;-22.4
Bugembe;65.4
Nanfang;-96.9
Lawrenceville;79.1
Caravelas;-24.9
Peristéri;-15.8
Velampatti;-8.8
Fuquay-Varina;-98.3
Quinhámel;44.4
Kars;-20.5
Vancouver;-15.1
Meymand;35.7
Plochingen;-0.4
Shikārpur;44.9
San Miguel Sigüilá;90.5
Sharypovo;-84.7
Bihtā;-53.6
Nikel;-55.8
Kilkunda;-80.2
Damaishan;-73.9
Ōtsuki;51.3
Dumbéa;44.4
Mössingen;-88.2
Seekonk;86.4
Yanshuiguan;6.6
Blackpool;-74.2
Vélez-Málaga;12.4
G’allaorol Shahri;74.0
Kalimala;8.0
Kākan;-11.7
Atuntaqui;65.5
Aladağ;76.4
Rotherham;-76.3
Salatiga;45.7
Paranavaí;-81.7
Guamal;-11.9
Middle Smithfield;71.6
Weil am Rhein;-2.4
Bujari;60.9
Qaţanā;56.8
Asingan;-75.7
Mitai;21.1
Gaoyou;57.1
Kāzerūn;-85.3
Iver;-72.0
Podkamennaya Tunguska;-55.3
Mucambo;-49.5
Banni;-46.4
Ranbīrsinghpura;-58.5
Malakanagiri;19.6
Vredenburg;-73.1
Svetlograd;59.3
Union Hill-Novelty Hill;-38.4
Khamīs Mushayţ;48.7
Igarapava;50.4
Sürmene;15.9
Babahoyo;23.1
Diré;-85.1
Ostrhauderfehn;61.6
Ensenada;87.6
Az Zubaydīyah;31.8
El Alto;5.4
Tayabas;34.0
Cossato;-69.2
Tecali;70.5
Altınyayla;-69.7
Colleyville;-88.5
Maiquetía;53.4
Sanmenxia;-36.9
Mushie;-77.0
Carlos Manuel de Céspedes;98.1
Mülheim;33.5
São Jerônimo;-53.4
